"","variable","description"
"75","PA19Q04","Expected completed levels - <ISCED level 4>"
"76","PA19Q05","Expected completed levels - <ISCED level 5B>"
"77","PA19Q06","Expected completed levels - <ISCED level 5A or 6>"
"78","PA21Q01","Family Country of Birth - Mother"
"79","PA21Q02","Family Country of Birth - Father"
"80","PA21Q03","Family Country of Birth - Maternal Grandmother"
"81","PA21Q04","Family Country of Birth - Maternal Grandfather"
"82","PA21Q05","Family Country of Birth - Paternal Grandmother"
"83","PA21Q06","Family Country of Birth - Paternal Grandfather"
"84","PA22Q01","Father Age Arrival Test Country"
"85","PA23Q01","Mother Age Arrival Test Country"
"86","PA24N0101","Country of Citizenship - Mother"
"87","PA24N0102","Country of Citizenship - Mother"
"88","PA24N0103","Country of Citizenship - Mother"
"89","PA24N0104","Country of Citizenship - Mother"
"90","PA24N0105","Country of Citizenship - Mother"
"91","PA24N0106","Country of Citizenship - Mother"
"92","PA24N0107","Country of Citizenship - Mother"
"93","PA24N0108","Country of Citizenship - Mother"
"94","PA24N0109","Country of Citizenship - Mother"
"95","PA24N0110","Country of Citizenship - Mother"
"96","PA24N0111","Country of Citizenship - Mother"
"97","PA24N0112","Country of Citizenship - Mother"
"98","PA24N0113","Country of Citizenship - Mother"
"99","PA24N0201","Country of Citizenship - Father"
"100","PA24N0202","Country of Citizenship - Father"
"101","PA24N0203","Country of Citizenship - Father"
"102","PA24N0204","Country of Citizenship - Father"
"103","PA24N0205","Country of Citizenship - Father"
"104","PA24N0206","Country of Citizenship - Father"
"105","PA24N0207","Country of Citizenship - Father"
"106","PA24N0208","Country of Citizenship - Father"
"107","PA24N0209","Country of Citizenship - Father"
"108","PA24N0210","Country of Citizenship - Father"
"109","PA24N0211","Country of Citizenship - Father"
"110","PA24N0212","Country of Citizenship - Father"
"111","PA24N0213","Country of Citizenship - Father"
"112","PA25Q01","Language Spoken at Home - Mother"
"113","PA25Q02","Language Spoken at Home - Father"
"114","OCOD3","Parental report on mother's ISCO08 classification"
"115","OCOD4","Parental report on father's ISCO08 classification"
"116","OCOD5","Parental report on career expectations for their children expressed in ISCO08"
"117","PARINVOL","Parental involvement in their child's school"
"118","PARSUPP","Student support"
"119","PQBFMJ","Father ISEI from Parent Questionnaire"
"120","PQBMMJ","Mother ISEI from Parent Questionnaire"
"121","PQCITIZF","Parental citizenship - Father"
"122","PQCITIZM","Parental citizenship - Mother"
"123","PQCOB_F","Country of Birth - Father"
"124","PQCOB_M","Country of Birth - Mother"
"125","PQCOB_MGM","Country of Birth - Maternal Grand-Mother"
"126","PQCOB_MGF","Country of Birth - Maternal Grand-Father"
"127","PQCOB_PGM","Country of Birth - Paternal Grand-Mother"
"128","PQCOB_PGF","Country of Birth - Paternal Grand-Father"
"129","PQEDASP","Expected completed levels of education"
"130","PQFISCED","PQ Educational level of father (ISCED)"
"131","PQHISCED","PQ Highest educational level of parents (ISCED)"
"132","PQHISEI","PQ Highest Parental Occupation Status (ISEI)"
"133","PQIMMIGF","Parental place of birth - Father"
"134","PQIMMIGM","Parental place of birth - Mother"
"135","PQLANGNF","Language at home (3-digit code) - Father"
"136","PQLANGNM","Language at home (3-digit code) - Mother"
"137","PQMCAR","Mathematics Career"
"138","PQMIMP","Parent attitudes toward mathematics"
"139","PQMISCED","PQ Educational level of mother (ISCED)"
"140","PQOCCASP","Expected ISEI of student from Parent Questionnaire"
"141","PQSCHOOL","Parents perception of school quality"
"142","SENWGT_PAQ","Senate weight - sum of weight within the country is 1000"
"143","VER_PAQ","Date of the database creation"
