"","variable","description"
"71","SC18Q05","Assessments  -  School's Progress"
"72","SC18Q06","Assessments  -  Teachers"
"73","SC18Q07","Assessments  -  Curriculum"
"74","SC18Q08","Assessments  -  Other Schools"
"75","SC19Q01","Achievement - Posted Publicly"
"76","SC19Q02","Achievement - Tracked by Authority"
"77","SC20Q01","Additional math lessons"
"78","SC21Q05","Purpose of additional math lessons"
"79","SC22Q01","Learning Hindrance - Student truancy"
"80","SC22Q02","Learning Hindrance - Skipping classes"
"81","SC22Q03","Learning Hindrance - students being late"
"82","SC22Q04","Learning Hindrance - students skipping events"
"83","SC22Q05","Learning Hindrance - Students lacking respect"
"84","SC22Q06","Learning Hindrance - Student Disruption"
"85","SC22Q07","Learning Hindrance - Student drug use"
"86","SC22Q08","Learning Hindrance - Students being bullied"
"87","SC22Q09","Learning Hindrance - Students not encouraged"
"88","SC22Q10","Learning Hindrance - Poor student-teacher relations"
"89","SC22Q11","Learning Hindrance - Heterogeneous classes"
"90","SC22Q12","Learning Hindrance - Diverse ethnic backgrounds"
"91","SC22Q13","Learning Hindrance - Teachers low expectations"
"92","SC22Q14","Learning Hindrance - Student needs not met"
"93","SC22Q15","Learning Hindrance - Teacher absenteeism"
"94","SC22Q16","Learning Hindrance - Staff resisting change"
"95","SC22Q17","Learning Hindrance - Teachers too strict"
"96","SC22Q18","Learning Hindrance - Teachers being late"
"97","SC22Q19","Learning Hindrance - Teachers being unprepared"
"98","SC23Q01","Students leaving without certificate"
"99","SC24Q01","Parental achievement pressure"
"100","SC25Q01","Parent Participation - Behaviour discussion parent initiative"
"101","SC25Q02","Parent Participation - Behaviour discussion teacher initiative"
"102","SC25Q03","Parent Participation - Progress discussion parent initiative"
"103","SC25Q04","Parent Participation - Progress discussion teacher initiative"
"104","SC25Q05","Parent Participation - Assistance building and grounds"
"105","SC25Q06","Parent Participation - Extra-curricular volunteering"
"106","SC25Q07","Parent Participation - Library volunteering"
"107","SC25Q08","Parent Participation - Teacher assistance"
"108","SC25Q09","Parent Participation - Guest speaking"
"109","SC25Q10","Parent Participation - School government"
"110","SC25Q11","Parent Participation - Fundraising"
"111","SC25Q12","Parent Pariticpation - <Canteen>"
"112","SC26Q01","Teacher morale - High Morale"
"113","SC26Q02","Teacher morale - Enthusiasm"
"114","SC26Q03","Teacher morale - Pride"
"115","SC26Q04","Teacher morale - Value achievement"
"116","SC27Q01","Teacher intentions - Trying new methods"
"117","SC27Q02","Teacher intentions - Stay with well-known methods"
"118","SC28Q01","Teacher intentions - Maximise achievement"
"119","SC28Q02","Teacher intentions - Adapt standards"
"120","SC29Q01","Teacher intentions - Social development"
"121","SC29Q02","Teacher intentions - Development of math skills"
"122","SC30Q01","Teacher Monitoring - Student Achievement tests"
"123","SC30Q02","Teacher Monitoring - Teacher peer review"
"124","SC30Q03","Teacher Monitoring - Principal or senior staff"
"125","SC30Q04","Teacher Monitoring - External observers"
"126","SC31Q01","Teacher Appraisal - Salary change"
"127","SC31Q02","Teacher Appraisal - Financial bonus"
"128","SC31Q03","Teacher Appraisal - Professional development"
"129","SC31Q04","Teacher Appraisal - Career advancement"
"130","SC31Q05","Teacher Appraisal - Public recognition"
"131","SC31Q06","Teacher Appraisal - Work responsibilities"
"132","SC31Q07","Teacher Appraisal - School development"
"133","SC32Q01","Admission  -  Academic record"
"134","SC32Q03","Admission  -  Feeder schools"
"135","SC32Q04","Admission  -  Parents endorsement"
"136","SC32Q05","Admission  -  Special Programme"
"137","SC32Q06","Admission  -  Family members"
"138","SC32Q07","Admission  -  Residence"
"139","SC32Q08","Admission  -  Other"
"140","SC33Q01A","Responsibility - Hiring teachers - Principals"
"141","SC33Q01B","Responsibility - Hiring teachers - Teachers"
"142","SC33Q01C","Responsibility - Hiring teachers - <School governing board>"
"143","SC33Q01D","Responsibility - Hiring teachers - <Regional or local education authority>"
"144","SC33Q01E","Responsibility - Hiring teachers - National education authority"
"145","SC33Q02A","Responsibility - Firing teachers - Principals"
"146","SC33Q02B","Responsibility - Firing teachers - Teachers"
"147","SC33Q02C","Responsibility - Firing teachers - <School governing board>"
"148","SC33Q02D","Responsibility - Firing teachers - <Regional or local education authority>"
"149","SC33Q02E","Responsibility - Firing teachers - National education authority"
"150","SC33Q03A","Responsibility - Teacher start salaries - Principals"
"151","SC33Q03B","Responsibility - Teacher start salaries - Teachers"
"152","SC33Q03C","Responsibility - Teacher start salaries - <School governing board>"
"153","SC33Q03D","Responsibility - Teacher start salaries - <Regional or local education authority>"
"154","SC33Q03E","Responsibility - Teacher start salaries - National education authority"
"155","SC33Q04A","Responsibility - Salary increase - Principals"
"156","SC33Q04B","Responsibility - Salary increase - Teachers"
"157","SC33Q04C","Responsibility - Salary increase - <School governing board>"
"158","SC33Q04D","Responsibility - Salary increase - <Regional or local education authority>"
"159","SC33Q04E","Responsibility - Salary increase - National education authority"
"160","SC33Q05A","Responsibility - Budget formulation - Principals"
"161","SC33Q05B","Responsibility - Budget formulation - Teachers"
"162","SC33Q05C","Responsibility - Budget formulation - <School governing board>"
"163","SC33Q05D","Responsibility - Budget formulation - <Regional or local education authority>"
"164","SC33Q05E","Responsibility - Budget formulation - National education authority"
"165","SC33Q06A","Responsibility - Budget allocation - Principals"
"166","SC33Q06B","Responsibility - Budget allocation - Teachers"
"167","SC33Q06C","Responsibility - Budget allocation - <School governing board>"
"168","SC33Q06D","Responsibility - Budget allocation - <Regional or local education authority>"
"169","SC33Q06E","Responsibility - Budget allocation - National education authority"
"170","SC33Q07A","Responsibility - Disciplinary policies - Principals"
"171","SC33Q07B","Responsibility - Disciplinary policies - Teachers"
"172","SC33Q07C","Responsibility - Disciplinary policies - <School governing board>"
"173","SC33Q07D","Responsibility - Disciplinary policies - <Regional or local education authority>"
"174","SC33Q07E","Responsibility - Disciplinary policies - National education authority"
"175","SC33Q08A","Responsibility - Assessment policies - Principals"
"176","SC33Q08B","Responsibility - Assessment policies - Teachers"
"177","SC33Q08C","Responsibility - Assessment policies - <School governing board>"
"178","SC33Q08D","Responsibility - Assessment policies - <Regional or local education authority>"
"179","SC33Q08E","Responsibility - Assessment policies - National education authority"
"180","SC33Q09A","Responsibility - Student admittance - Principals"
"181","SC33Q09B","Responsibility - Student admittance - Teachers"
"182","SC33Q09C","Responsibility - Student admittance - <School governing board>"
"183","SC33Q09D","Responsibility - Student admittance - <Regional or local education authority>"
"184","SC33Q09E","Responsibility - Student admittance - National education authority"
"185","SC33Q10A","Responsibility - Textbook selection - Principals"
"186","SC33Q10B","Responsibility - Textbook selection - Teachers"
"187","SC33Q10C","Responsibility - Textbook selection - <School governing board>"
"188","SC33Q10D","Responsibility - Textbook selection - <Regional or local education authority>"
"189","SC33Q10E","Responsibility - Textbook selection - National education authority"
"190","SC33Q11A","Responsibility - Course content - Principals"
"191","SC33Q11B","Responsibility - Course content - Teachers"
"192","SC33Q11C","Responsibility - Course content - <School governing board>"
"193","SC33Q11D","Responsibility - Course content - <Regional or local education authority>"
"194","SC33Q11E","Responsibility - Course content - National education authority"
"195","SC33Q12A","Responsibility - Courses offered - Principals"
"196","SC33Q12B","Responsibility - Courses offered - Teachers"
"197","SC33Q12C","Responsibility - Courses offered - <School governing board>"
"198","SC33Q12D","Responsibility - Courses offered - <Regional or local education authority>"
"199","SC33Q12E","Responsibility - Courses offered - National education authority"
"200","SC34Q01","School Leadership - Enhance reputation"
"201","SC34Q02","School Leadership - Student results"
"202","SC34Q03","School Leadership - Development activities"
"203","SC34Q04","School Leadership - Educational goals"
"204","SC34Q05","School Leadership - Educational research"
"205","SC34Q06","School Leadership - Praise teacher learning"
"206","SC34Q07","School Leadership - Discuss problems"
"207","SC34Q08","School Leadership - Importance of social capacities"
"208","SC34Q09","School Leadership - Disruptive behaviour"
"209","SC34Q10","School Leadership - Staff decision making"
"210","SC34Q11","School Leadership - Improvement culture"
"211","SC34Q12","School Leadership - Reviewing management"
"212","SC34Q13","School Leadership - Joint problem solving"
"213","SC34Q14","School Leadership - Goal discussion"
"214","SC34Q15","School Leadership - Goal-oriented curriculum"
"215","SC34Q16","School Leadership - Curricular strengths"
"216","SC34Q17","School Leadership - Inservice activities"
"217","SC34Q18","School Leadership - Sharing ideas or information"
"218","SC34Q19","School Leadership - Informal observations"
"219","SC34Q20","School Leadership - Review student work"
"220","SC34Q22","School Leadership - Evaluate staff"
"221","SC35Q01","Math Professional Development  - All staff"
"222","SC35Q02","Math Professional Development  - Math teachers"
"223","SC39Q01","Quality Assurance - Specification of profile"
"224","SC39Q02","Quality Assurance - Specification of standards"
"225","SC39Q03","Quality Assurance - Data recording"
"226","SC39Q05","Quality Assurance - Internal evaluation"
"227","SC39Q06","Quality Assurance - External evaluation"
"228","SC39Q07","Quality Assurance - Student feed-back"
"229","SC39Q08","Quality Assurance - Teacher mentoring"
"230","SC39Q09","Quality Assurance - Expert consultation"
"231","SC39Q10","Quality Assurance - Standardised math policy"
"232","SC40Q01","Math Policy - Computer use"
"233","SC40Q02","Math Policy - Textbook"
"234","SC40Q03","Math Policy - Standardised curriculum"
"235","SC44Q01","Student Transfer  -  Low achievement"
"236","SC44Q02","Student Transfer  -  High achievement"
"237","SC44Q03","Student Transfer  -  Behavioural problems"
"238","SC44Q04","Student Transfer  -  Special learning needs"
"239","SC44Q05","Student Transfer  -  Parents request"
"240","SC44Q06","Transfer  -  other reasons"
"241","SC47Q01","Availability of FE"
"242","SC45Q01","Compulsory FE"
"243","SC46Q01","Teaching FE - Separate subject"
"244","SC46Q02","Teaching FE - Cross-curricular subject"
"245","SC46Q03","Teaching FE - Part of <business or economics> course"
"246","SC46Q05","Teaching FE - Part of mathematics"
"247","SC46Q04","Teaching FE - Part of humanities subjects"
"248","SC46Q06","Teaching FE - Extra-curricular activity"
"249","SC46Q09","Teaching FE - Class teacher lessons"
"250","SC52Q01","Teaching FE – Teachers"
"251","SC46Q07","Teaching FE - Private sector"
"252","SC46Q08","Teaching FE - Public sector"
"253","SC52Q02","Teaching FE – NGO"
"254","SC51Q01","FE Professional development – FE Staff"
"255","SC51Q02","FE Professional development – Non FE Staff"
"256","ABGMATH","Ability grouping for mathematics classes"
"257","ASSESS","Use of assessment"
"258","CLSIZE","Class size"
"259","COMPWEB","Ratio of computers connected to WEB and number of computers"
"260","CREACTIV","Extracurricular creative activities at school"
"261","LEADCOM","Framing and communicating the school’s goals and curricular development"
"262","LEADINST","Instructional Leadership"
"263","LEADPD","Promoting instructional improvements and professional development"
"264","LEADTCH","Teacher participation in leadership"
"265","MACTIV","Mathematics Extracurricular activities at school"
"266","MATHEXC","Mathematics extension course types offered"
"267","PCGIRLS","Proportion of girls at school"
"268","PROPCERT","Proportion of certified teachers"
"269","PROPMA5A","Proportion of math teachers with ISCED 5A (math major)"
"270","PROPMATH","Proportion of math teachers"
"271","PROPQUAL","Proportion of teachers with ISCED 5A"
"272","RATCMP15","Ratio of computers for education and number of students in the <national modal grade for 15-year-olds>"
"273","RESPCUR","Index of school responsibility for curriculum and assessment"
"274","RESPRES","Index of school responsibility for resource allocation"
"275","SCHAUTON","School Autonomy"
"276","SCHLTYPE","School Ownership"
"277","SCHSEL","School selectivity/student admission policies"
"278","SCHSIZE","Total school enrolment"
"279","SCMATBUI","Quality of physical infrastructure"
"280","SCMATEDU","Quality of school educational resources"
"281","SMRATIO","Math Teacher-student ratio"
"282","STRATIO","Student-Teacher ratio"
"283","STUDCLIM","Student-Related Factors Affecting School Climate"
"284","TCFOCST","Teacher focus"
"285","TCHPARTI","Teacher participation/autonomy"
"286","TCMORALE","Teacher Morale"
"287","TCSHORT","Shortage of teaching  Staff"
"288","TEACCLIM","Teacher related factors affecting school climate"
"289","W_FSCHWT","GRADE NONRESPONSE ADJUSTED SCHOOL BASE WEIGHT"
"290","SENWGT_SCQ","Senate weight - sum of weight within the country is 1000"
"291","VER_SCQ","Date of the database creation"
