"","variable","description"
"77","ST35Q03","Subjective Norms - Friends Enjoy Mathematics Tests"
"78","ST35Q04","Subjective Norms - Parents Believe Studying Mathematics Is Important"
"79","ST35Q05","Subjective Norms - Parents Believe Mathematics Is Important for Career"
"80","ST35Q06","Subjective Norms - Parents Like Mathematics"
"81","ST37Q01","Math Self-Efficacy - Using a <Train Timetable>"
"82","ST37Q02","Math Self-Efficacy - Calculating TV Discount"
"83","ST37Q03","Math Self-Efficacy - Calculating Square Metres of Tiles"
"84","ST37Q04","Math Self-Efficacy - Understanding Graphs in Newspapers"
"85","ST37Q05","Math Self-Efficacy - Solving Equation 1"
"86","ST37Q06","Math Self-Efficacy - Distance to Scale"
"87","ST37Q07","Math Self-Efficacy - Solving Equation 2"
"88","ST37Q08","Math Self-Efficacy - Calculate Petrol Consumption Rate"
"89","ST42Q01","Math Anxiety - Worry That It Will Be Difficult"
"90","ST42Q02","Math Self-Concept - Not Good at Maths"
"91","ST42Q03","Math Anxiety - Get Very Tense"
"92","ST42Q04","Math Self-Concept- Get Good <Grades>"
"93","ST42Q05","Math Anxiety - Get Very Nervous"
"94","ST42Q06","Math Self-Concept - Learn Quickly"
"95","ST42Q07","Math Self-Concept - One of Best Subjects"
"96","ST42Q08","Math Anxiety - Feel Helpless"
"97","ST42Q09","Math Self-Concept - Understand Difficult Work"
"98","ST42Q10","Math Anxiety - Worry About Getting Poor <Grades>"
"99","ST43Q01","Perceived Control - Can Succeed with Enough Effort"
"100","ST43Q02","Perceived Control - Doing Well is Completely Up to Me"
"101","ST43Q03","Perceived Control - Family Demands and Problems"
"102","ST43Q04","Perceived Control - Different Teachers"
"103","ST43Q05","Perceived Control - If I Wanted I Could Perform Well"
"104","ST43Q06","Perceived Control - Perform Poorly Regardless"
"105","ST44Q01","Attributions to Failure - Not Good at Maths Problems"
"106","ST44Q03","Attributions to Failure - Teacher Did Not Explain Well"
"107","ST44Q04","Attributions to Failure - Bad Guesses"
"108","ST44Q05","Attributions to Failure - Material Too Hard"
"109","ST44Q07","Attributions to Failure - Teacher Didnt Get Students Interested"
"110","ST44Q08","Attributions to Failure - Unlucky"
"111","ST46Q01","Math Work Ethic - Homework Completed in Time"
"112","ST46Q02","Math Work Ethic - Work Hard on Homework"
"113","ST46Q03","Math Work Ethic - Prepared for Exams"
"114","ST46Q04","Math Work Ethic - Study Hard for Quizzes"
"115","ST46Q05","Math Work Ethic - Study Until I Understand Everything"
"116","ST46Q06","Math Work Ethic - Pay Attention in Classes"
"117","ST46Q07","Math Work Ethic - Listen in Classes"
"118","ST46Q08","Math Work Ethic - Avoid Distractions When Studying"
"119","ST46Q09","Math Work Ethic - Keep Work Organized"
"120","ST48Q01","Math Intentions - Mathematics vs. Language Courses After School"
"121","ST48Q02","Math Intentions - Mathematics vs. Science Related Major in College"
"122","ST48Q03","Math Intentions - Study Harder in Mathematics vs. Language Classes"
"123","ST48Q04","Math Intentions - Take Maximum Number of Mathematics vs. Science Classes"
"124","ST48Q05","Math Intentions - Pursuing a Career That Involves Mathematics vs. Science"
"125","ST49Q01","Math Behaviour - Talk about Maths with Friends"
"126","ST49Q02","Math Behaviour - Help Friends with Maths"
"127","ST49Q03","Math Behaviour - <Extracurricular> Activity"
"128","ST49Q04","Math Behaviour - Participate in Competitions"
"129","ST49Q05","Math Behaviour - Study More Than 2 Extra Hours a Day"
"130","ST49Q06","Math Behaviour - Play Chess"
"131","ST49Q07","Math Behaviour - Computer programming"
"132","ST49Q09","Math Behaviour - Participate in Math Club"
"133","ST53Q01","Learning Strategies- Important Parts vs. Existing Knowledge vs. Learn by Heart"
"134","ST53Q02","Learning Strategies- Improve Understanding vs. New Ways vs. Memory"
"135","ST53Q03","Learning Strategies - Other Subjects vs. Learning Goals vs. Rehearse Problems"
"136","ST53Q04","Learning Strategies - Repeat Examples vs. Everyday Applications vs. More Information"
"137","ST55Q01","Out of school lessons - <test lang>"
"138","ST55Q02","Out of school lessons - <maths>"
"139","ST55Q03","Out of school lessons - <science>"
"140","ST55Q04","Out of school lessons - other"
"141","ST57Q01","Out-of-School Study Time - Homework"
"142","ST57Q02","Out-of-School Study Time - Guided Homework"
"143","ST57Q03","Out-of-School Study Time - Personal Tutor"
"144","ST57Q04","Out-of-School Study Time - Commercial Company"
"145","ST57Q05","Out-of-School Study Time - With Parent"
"146","ST57Q06","Out-of-School Study Time - Computer"
"147","ST61Q01","Experience with Applied Maths Tasks - Use <Train Timetable>"
"148","ST61Q02","Experience with Applied Maths Tasks - Calculate Price including Tax"
"149","ST61Q03","Experience with Applied Maths Tasks - Calculate Square Metres"
"150","ST61Q04","Experience with Applied Maths Tasks - Understand Scientific Tables"
"151","ST61Q05","Experience with Pure Maths Tasks - Solve Equation 1"
"152","ST61Q06","Experience with Applied Maths Tasks - Use a Map to Calculate Distance"
"153","ST61Q07","Experience with Pure Maths Tasks - Solve Equation 2"
"154","ST61Q08","Experience with Applied Maths Tasks - Calculate Power Consumption Rate"
"155","ST61Q09","Experience with Applied Maths Tasks - Solve Equation 3"
"156","ST62Q01","Familiarity with Math Concepts - Exponential Function"
"157","ST62Q02","Familiarity with Math Concepts - Divisor"
"158","ST62Q03","Familiarity with Math Concepts - Quadratic Function"
"159","ST62Q04","Overclaiming - Proper Number"
"160","ST62Q06","Familiarity with Math Concepts - Linear Equation"
"161","ST62Q07","Familiarity with Math Concepts - Vectors"
"162","ST62Q08","Familiarity with Math Concepts - Complex Number"
"163","ST62Q09","Familiarity with Math Concepts - Rational Number"
"164","ST62Q10","Familiarity with Math Concepts - Radicals"
"165","ST62Q11","Overclaiming - Subjunctive Scaling"
"166","ST62Q12","Familiarity with Math Concepts - Polygon"
"167","ST62Q13","Overclaiming - Declarative Fraction"
"168","ST62Q15","Familiarity with Math Concepts - Congruent Figure"
"169","ST62Q16","Familiarity with Math Concepts - Cosine"
"170","ST62Q17","Familiarity with Math Concepts - Arithmetic Mean"
"171","ST62Q19","Familiarity with Math Concepts - Probability"
"172","ST69Q01","Min in <class period> - <test lang>"
"173","ST69Q02","Min in <class period> - <Maths>"
"174","ST69Q03","Min in <class period> - <Science>"
"175","ST70Q01","No of <class period> p/wk - <test lang>"
"176","ST70Q02","No of <class period> p/wk - <Maths>"
"177","ST70Q03","No of <class period> p/wk - <Science>"
"178","ST71Q01","No of ALL <class period> a week"
"179","ST72Q01","Class Size - No of Students in <Test Language> Class"
"180","ST73Q01","OTL - Algebraic Word Problem in Math Lesson"
"181","ST73Q02","OTL - Algebraic Word Problem in Tests"
"182","ST74Q01","OTL - Procedural Task in Math Lesson"
"183","ST74Q02","OTL - Procedural Task in Tests"
"184","ST75Q01","OTL - Pure Math Reasoning in Math Lesson"
"185","ST75Q02","OTL - Pure Math Reasoning in Tests"
"186","ST76Q01","OTL - Applied Math Reasoning in Math Lesson"
"187","ST76Q02","OTL - Applied Math Reasoning in Tests"
"188","ST77Q01","Math Teaching - Teacher shows interest"
"189","ST77Q02","Math Teaching - Extra help"
"190","ST77Q04","Math Teaching - Teacher helps"
"191","ST77Q05","Math Teaching - Teacher continues"
"192","ST77Q06","Math Teaching - Express opinions"
"193","ST79Q01","Teacher-Directed Instruction - Sets Clear Goals"
"194","ST79Q02","Teacher-Directed Instruction - Encourages Thinking and Reasoning"
"195","ST79Q03","Student Orientation - Differentiates Between Students When Giving Tasks"
"196","ST79Q04","Student Orientation - Assigns Complex Projects"
"197","ST79Q05","Formative Assessment - Gives Feedback"
"198","ST79Q06","Teacher-Directed Instruction - Checks Understanding"
"199","ST79Q07","Student Orientation - Has Students Work in Small Groups"
"200","ST79Q08","Teacher-Directed Instruction - Summarizes Previous Lessons"
"201","ST79Q10","Student Orientation - Plans Classroom Activities"
"202","ST79Q11","Formative Assessment - Gives Feedback on Strengths and Weaknesses"
"203","ST79Q12","Formative Assessment - Informs about Expectations"
"204","ST79Q15","Teacher-Directed Instruction - Informs about Learning Goals"
"205","ST79Q17","Formative Assessment - Tells How to Get Better"
"206","ST80Q01","Cognitive Activation - Teacher Encourages to Reflect Problems"
"207","ST80Q04","Cognitive Activation - Gives Problems that Require to Think"
"208","ST80Q05","Cognitive Activation - Asks to Use Own Procedures"
"209","ST80Q06","Cognitive Activation - Presents Problems with No Obvious Solutions"
"210","ST80Q07","Cognitive Activation - Presents Problems in Different Contexts"
"211","ST80Q08","Cognitive Activation - Helps Learn from Mistakes"
"212","ST80Q09","Cognitive Activation - Asks for Explanations"
"213","ST80Q10","Cognitive Activation - Apply What We Learned"
"214","ST80Q11","Cognitive Activation - Problems with Multiple Solutions"
"215","ST81Q01","Disciplinary Climate - Students Don’t Listen"
"216","ST81Q02","Disciplinary Climate - Noise and Disorder"
"217","ST81Q03","Disciplinary Climate - Teacher Has to Wait Until its Quiet"
"218","ST81Q04","Disciplinary Climate - Students Don’t Work Well"
"219","ST81Q05","Disciplinary Climate - Students Start Working Late"
"220","ST82Q01","Vignette Teacher Support -Homework Every Other Day/Back in Time"
"221","ST82Q02","Vignette Teacher Support - Homework Once a Week/Back in Time"
"222","ST82Q03","Vignette Teacher Support - Homework Once a Week/Not Back in Time"
"223","ST83Q01","Teacher Support - Lets Us Know We Have to Work Hard"
"224","ST83Q02","Teacher Support - Provides Extra Help When Needed"
"225","ST83Q03","Teacher Support - Helps Students with Learning"
"226","ST83Q04","Teacher Support - Gives Opportunity to Express Opinions"
"227","ST84Q01","Vignette Classroom Management - Students Frequently Interrupt/Teacher Arrives Early"
"228","ST84Q02","Vignette Classroom Management - Students Are Calm/Teacher Arrives on Time"
"229","ST84Q03","Vignette Classroom Management - Students Frequently Interrupt/Teacher Arrives Late"
"230","ST85Q01","Classroom Management - Students Listen"
"231","ST85Q02","Classroom Management - Teacher Keeps Class Orderly"
"232","ST85Q03","Classroom Management - Teacher Starts On Time"
"233","ST85Q04","Classroom Management - Wait Long to <Quiet Down>"
"234","ST86Q01","Student-Teacher Relation - Get Along with Teachers"
"235","ST86Q02","Student-Teacher Relation - Teachers Are Interested"
"236","ST86Q03","Student-Teacher Relation - Teachers Listen to Students"
"237","ST86Q04","Student-Teacher Relation - Teachers Help Students"
"238","ST86Q05","Student-Teacher Relation - Teachers Treat Students Fair"
"239","ST87Q01","Sense of Belonging - Feel Like Outsider"
"240","ST87Q02","Sense of Belonging - Make Friends Easily"
"241","ST87Q03","Sense of Belonging - Belong at School"
"242","ST87Q04","Sense of Belonging - Feel Awkward at School"
"243","ST87Q05","Sense of Belonging - Liked by Other Students"
"244","ST87Q06","Sense of Belonging - Feel Lonely at School"
"245","ST87Q07","Sense of Belonging - Feel Happy at School"
"246","ST87Q08","Sense of Belonging - Things Are Ideal at School"
"247","ST87Q09","Sense of Belonging - Satisfied at School"
"248","ST88Q01","Attitude towards School - Does Little to Prepare Me for Life"
"249","ST88Q02","Attitude towards School - Waste of Time"
"250","ST88Q03","Attitude towards School - Gave Me Confidence"
"251","ST88Q04","Attitude towards School- Useful for Job"
"252","ST89Q02","Attitude toward School - Helps to Get a Job"
"253","ST89Q03","Attitude toward School - Prepare for College"
"254","ST89Q04","Attitude toward School - Enjoy Good Grades"
"255","ST89Q05","Attitude toward School - Trying Hard is Important"
"256","ST91Q01","Perceived Control - Can Succeed with Enough Effort"
"257","ST91Q02","Perceived Control - My Choice Whether I Will Be Good"
"258","ST91Q03","Perceived Control - Problems Prevent from Putting Effort into School"
"259","ST91Q04","Perceived Control - Different Teachers Would Make Me Try Harder"
"260","ST91Q05","Perceived Control - Could Perform Well if I Wanted"
"261","ST91Q06","Perceived Control - Perform Poor Regardless"
"262","ST93Q01","Perseverance - Give up easily"
"263","ST93Q03","Perseverance - Put off difficult problems"
"264","ST93Q04","Perseverance - Remain interested"
"265","ST93Q06","Perseverance - Continue to perfection"
"266","ST93Q07","Perseverance - Exceed expectations"
"267","ST94Q05","Openness for Problem Solving - Can Handle a Lot of Information"
"268","ST94Q06","Openness for Problem Solving - Quick to Understand"
"269","ST94Q09","Openness for Problem Solving - Seek Explanations"
"270","ST94Q10","Openness for Problem Solving - Can Link Facts"
"271","ST94Q14","Openness for Problem Solving - Like to Solve Complex Problems"
"272","ST96Q01","Problem Text Message - Press every button"
"273","ST96Q02","Problem Text Message - Trace steps"
"274","ST96Q03","Problem Text Message - Manual"
"275","ST96Q05","Problem Text Message - Ask a friend"
"276","ST101Q01","Problem Route Selection - Read brochure"
"277","ST101Q02","Problem Route Selection - Study map"
"278","ST101Q03","Problem Route Selection - Leave it to brother"
"279","ST101Q05","Problem Route Selection - Just drive"
"280","ST104Q01","Problem Ticket Machine - Similarities"
"281","ST104Q04","Problem Ticket Machine - Try buttons"
"282","ST104Q05","Problem Ticket Machine - Ask for help"
"283","ST104Q06","Problem Ticket Machine - Find ticket office"
"284","IC01Q01","At Home - Desktop Computer"
"285","IC01Q02","At Home - Portable laptop"
"286","IC01Q03","At Home - Tablet computer"
"287","IC01Q04","At Home - Internet connection"
"288","IC01Q05","At Home - Video games console"
"289","IC01Q06","At Home - Cell phone w/o Internet"
"290","IC01Q07","At Home - Cell phone with Internet"
"291","IC01Q08","At Home - Mp3/Mp4 player"
"292","IC01Q09","At Home - Printer"
"293","IC01Q10","At Home - USB (memory) stick"
"294","IC01Q11","At Home - Ebook reader"
"295","IC02Q01","At school - Desktop Computer"
"296","IC02Q02","At school - Portable laptop"
"297","IC02Q03","At school - Tablet computer"
"298","IC02Q04","At school - Internet connection"
"299","IC02Q05","At school - Printer"
"300","IC02Q06","At school - USB (memory) stick"
"301","IC02Q07","At school - Ebook reader"
"302","IC03Q01","First use of computers"
"303","IC04Q01","First access to Internet"
"304","IC05Q01","Internet at School"
"305","IC06Q01","Internet out-of-school - Weekday"
"306","IC07Q01","Internet out-of-school - Weekend"
"307","IC08Q01","Out-of-school 8 - One player games."
"308","IC08Q02","Out-of-school 8 - ColLabourative games."
"309","IC08Q03","Out-of-school 8 - Use email"
"310","IC08Q04","Out-of-school 8 - Chat on line"
"311","IC08Q05","Out-of-school 8 - Social networks"
"312","IC08Q06","Out-of-school 8 - Browse the Internet for fun"
"313","IC08Q07","Out-of-school 8 - Read news"
"314","IC08Q08","Out-of-school 8 - Obtain practical information from the Internet"
"315","IC08Q09","Out-of-school 8 - Download music"
"316","IC08Q11","Out-of-school 8 - Upload content"
"317","IC09Q01","Out-of-school 9 - Internet for school"
"318","IC09Q02","Out-of-school 9 - Email students"
"319","IC09Q03","Out-of-school 9 - Email teachers"
"320","IC09Q04","Out-of-school 9 - Download from School"
"321","IC09Q05","Out-of-school 9 - Announcements"
"322","IC09Q06","Out-of-school 9 - Homework"
"323","IC09Q07","Out-of-school 9 - Share school material"
"324","IC10Q01","At School - Chat on line"
"325","IC10Q02","At School - Email"
"326","IC10Q03","At School - Browse for schoolwork"
"327","IC10Q04","At School - Download from website"
"328","IC10Q05","At School - Post on website"
"329","IC10Q06","At School - Simulations"
"330","IC10Q07","At School - Practice and drilling"
"331","IC10Q08","At School - Homework"
"332","IC10Q09","At School - Group work"
"333","IC11Q01","Maths lessons - Draw graph"
"334","IC11Q02","Maths lessons - Calculation with numbers"
"335","IC11Q03","Maths lessons - Geometric figures"
"336","IC11Q04","Maths lessons - Spreadsheet"
"337","IC11Q05","Maths lessons - Algebra"
"338","IC11Q06","Maths lessons - Histograms"
"339","IC11Q07","Maths lessons - Change in graphs"
"340","IC22Q01","Attitudes - Useful for schoolwork"
"341","IC22Q02","Attitudes - Homework more fun"
"342","IC22Q04","Attitudes - Source of information"
"343","IC22Q06","Attitudes - Troublesome"
"344","IC22Q07","Attitudes - Not suitable for schoolwork"
"345","IC22Q08","Attitudes - Too unreliable"
"346","EC01Q01","Miss 2 months of <ISCED 1>"
"347","EC02Q01","Miss 2 months of <ISCED 2>"
"348","EC03Q01","Future Orientation - Internship"
"349","EC03Q02","Future Orientation - Work-site visits"
"350","EC03Q03","Future Orientation - Job fair"
"351","EC03Q04","Future Orientation - Career advisor at school"
"352","EC03Q05","Future Orientation - Career advisor outside school"
"353","EC03Q06","Future Orientation - Questionnaire"
"354","EC03Q07","Future Orientation - Internet search"
"355","EC03Q08","Future Orientation - Tour<ISCED 3-5> institution"
"356","EC03Q09","Future Orientation - web search <ISCED 3-5> prog"
"357","EC03Q10","Future Orientation - <country specific item>"
"358","EC04Q01A","Acquired skills - Find job info - Yes, at school"
"359","EC04Q01B","Acquired skills - Find job info - Yes, out of school"
"360","EC04Q01C","Acquired skills - Find job info - No, never"
"361","EC04Q02A","Acquired skills - Search for job - Yes, at school"
"362","EC04Q02B","Acquired skills - Search for job - Yes, out of school"
"363","EC04Q02C","Acquired skills - Search for job - No, never"
"364","EC04Q03A","Acquired skills - Write resume - Yes, at school"
"365","EC04Q03B","Acquired skills - Write resume - Yes, out of school"
"366","EC04Q03C","Acquired skills - Write resume - No, never"
"367","EC04Q04A","Acquired skills - Job interview - Yes, at school"
"368","EC04Q04B","Acquired skills - Job interview - Yes, out of school"
"369","EC04Q04C","Acquired skills - Job interview - No, never"
"370","EC04Q05A","Acquired skills - ISCED 3-5 programs - Yes, at school"
"371","EC04Q05B","Acquired skills - ISCED 3-5 programs - Yes, out of school"
"372","EC04Q05C","Acquired skills - ISCED 3-5 programs - No, never"
"373","EC04Q06A","Acquired skills - Student financing - Yes, at school"
"374","EC04Q06B","Acquired skills - Student financing - Yes, out of school"
"375","EC04Q06C","Acquired skills - Student financing - No, never"
"376","EC05Q01","First language learned"
"377","EC06Q01","Age started learning <test language>"
"378","EC07Q01","Language spoken - Mother"
"379","EC07Q02","Language spoken - Father"
"380","EC07Q03","Language spoken - Siblings"
"381","EC07Q04","Language spoken - Best friend"
"382","EC07Q05","Language spoken - Schoolmates"
"383","EC08Q01","Activities language - Reading"
"384","EC08Q02","Activities language - Watching TV"
"385","EC08Q03","Activities language - Internet surfing"
"386","EC08Q04","Activities language - Writing emails"
"387","EC09Q03","Types of support <test language> - remedial lessons"
"388","EC10Q01","Amount of support <test language>"
"389","EC11Q02","Attend lessons <heritage language> - focused"
"390","EC11Q03","Attend lessons <heritage language> - school subjects"
"391","EC12Q01","Instruction in <heritage language>"
"392","ST22Q01","Acculturation - Mother Immigrant (Filter)"
"393","ST23Q01","Acculturation - Enjoy <Host Culture> Friends"
"394","ST23Q02","Acculturation - Enjoy <Heritage Culture> Friends"
"395","ST23Q03","Acculturation - Enjoy <Host Culture> Celebrations"
"396","ST23Q04","Acculturation - Enjoy <Heritage Culture> Celebrations"
"397","ST23Q05","Acculturation - Spend Time with <Host Culture> Friends"
"398","ST23Q06","Acculturation - Spend Time with <Heritage Culture> Friends"
"399","ST23Q07","Acculturation - Participate in <Host Culture> Celebrations"
"400","ST23Q08","Acculturation - Participate in <Heritage Culture> Celebrations"
"401","ST24Q01","Acculturation - Perceived Host-Heritage Cultural Differences - Values"
"402","ST24Q02","Acculturation - Perceived Host-Heritage Cultural Differences - Mother Treatment"
"403","ST24Q03","Acculturation - Perceived Host-Heritage Cultural Differences - Teacher Treatment"
"404","CLCUSE1","Calculator Use"
"405","CLCUSE301","Effort-real 1"
"406","CLCUSE302","Effort-real 2"
"407","DEFFORT","Difference in Effort"
"408","QUESTID","Student Questionnaire Form"
"409","BOOKID","Booklet ID"
"410","EASY","Standard or simplified set of booklets"
"411","AGE","Age of student"
"412","GRADE","Grade compared to modal grade in country"
"413","PROGN","Unique national study programme code"
"414","ANXMAT","Mathematics Anxiety"
"415","ATSCHL","Attitude towards School: Learning Outcomes"
"416","ATTLNACT","Attitude towards School: Learning Activities"
"417","BELONG","Sense of Belonging to School"
"418","BFMJ2","Father SQ ISEI"
"419","BMMJ1","Mother SQ ISEI"
"420","CLSMAN","Mathematics Teacher's Classroom Management"
"421","COBN_F","Country of Birth National Categories- Father"
"422","COBN_M","Country of Birth National Categories- Mother"
"423","COBN_S","Country of Birth National Categories- Self"
"424","COGACT","Cognitive Activation in Mathematics Lessons"
"425","CULTDIST","Cultural Distance between Host and Heritage Culture"
"426","CULTPOS","Cultural Possessions"
"427","DISCLIMA","Disciplinary Climate"
"428","ENTUSE","ICT Entertainment Use"
"429","ESCS","Index of economic, social and cultural status"
"430","EXAPPLM","Experience with Applied Mathematics Tasks at School"
"431","EXPUREM","Experience with Pure Mathematics Tasks at School"
"432","FAILMAT","Attributions to Failure in Mathematics"
"433","FAMCON","Familiarity with Mathematical Concepts"
"434","FAMCONC","Familiarity with Mathematical Concepts (Signal Detection  Adjusted)"
"435","FAMSTRUC","Family Structure"
"436","FISCED","Educational level of father (ISCED)"
"437","HEDRES","Home educational resources"
"438","HERITCUL","Acculturation: Heritage Culture Oriented  Strategies"
"439","HISCED","Highest educational level of parents"
"440","HISEI","Highest parental occupational status"
"441","HOMEPOS","Home Possessions"
"442","HOMSCH","ICT Use at Home for School-related Tasks"
"443","HOSTCUL","Acculturation: Host Culture Oriented Strategies"
"444","ICTATTNEG","Attitudes Towards Computers: Limitations of the Computer as a Tool for School Learning"
"445","ICTATTPOS","Attitudes Towards Computers: Computer as a Tool for School Learning"
"446","ICTHOME","ICT Availability at Home"
"447","ICTRES","ICT resources"
"448","ICTSCH","ICT Availability at School"
"449","IMMIG","Immigration status"
"450","INFOCAR","Information about Careers"
"451","INFOJOB1","Information about the Labour Market provided by the School"
"452","INFOJOB2","Information about the Labour Market provided outside of School"
"453","INSTMOT","Instrumental Motivation for Mathematics"
"454","INTMAT","Mathematics Interest"
"455","ISCEDD","ISCED designation"
"456","ISCEDL","ISCED level"
"457","ISCEDO","ISCED orientation"
"458","LANGCOMM","Preference for Heritage Language in Conversations with Family and Friends"
"459","LANGN","Language at home (3-digit code)"
"460","LANGRPPD","Preference for Heritage Language in Language Reception and Production"
"461","LMINS","Learning time (minutes per week)  - <test language>"
"462","MATBEH","Mathematics Behaviour"
"463","MATHEFF","Mathematics Self-Efficacy"
"464","MATINTFC","Mathematics Intentions"
"465","MATWKETH","Mathematics Work Ethic"
"466","MISCED","Educational level of mother (ISCED)"
"467","MMINS","Learning time (minutes per week)- <Mathematics>"
"468","MTSUP","Mathematics Teacher's Support"
"469","OCOD1","ISCO-08 Occupation code - Mother"
"470","OCOD2","ISCO-08 Occupation code - Father"
"471","OPENPS","Openness for Problem Solving"
"472","OUTHOURS","Out-of-School Study Time"
"473","PARED","Highest parental education in years"
"474","PERSEV","Perseverance"
"475","REPEAT","Grade Repetition"
"476","SCMAT","Mathematics Self-Concept"
"477","SMINS","Learning time (minutes per week) - <Science>"
"478","STUDREL","Teacher Student Relations"
"479","SUBNORM","Subjective Norms in Mathematics"
"480","TCHBEHFA","Teacher Behaviour: Formative Assessment"
"481","TCHBEHSO","Teacher Behaviour: Student Orientation"
"482","TCHBEHTD","Teacher Behaviour: Teacher-directed Instruction"
"483","TEACHSUP","Teacher Support"
"484","TESTLANG","Language of the test"
"485","TIMEINT","Time of computer use (mins)"
"486","USEMATH","Use of ICT in Mathematic Lessons"
"487","USESCH","Use of ICT at School"
"488","WEALTH","Wealth"
"489","ANCATSCHL","Attitude towards School: Learning Outcomes (Anchored)"
"490","ANCATTLNACT","Attitude towards School: Learning Activities (Anchored)"
"491","ANCBELONG","Sense of Belonging to School (Anchored)"
"492","ANCCLSMAN","Mathematics Teacher's Classroom Management (Anchored)"
"493","ANCCOGACT","Cognitive Activation in Mathematics Lessons (Anchored)"
"494","ANCINSTMOT","Instrumental Motivation for Mathematics (Anchored)"
"495","ANCINTMAT","Mathematics Interest (Anchored)"
"496","ANCMATWKETH","Mathematics Work Ethic (Anchored)"
"497","ANCMTSUP","Mathematics Teacher's Support (Anchored)"
"498","ANCSCMAT","Mathematics Self-Concept (Anchored)"
"499","ANCSTUDREL","Teacher Student Relations (Anchored)"
"500","ANCSUBNORM","Subjective Norms in Mathematics (Anchored)"
"501","PV1MATH","Plausible value 1 in mathematics"
"502","PV2MATH","Plausible value 2 in mathematics"
"503","PV3MATH","Plausible value 3 in mathematics"
"504","PV4MATH","Plausible value 4 in mathematics"
"505","PV5MATH","Plausible value 5 in mathematics"
"506","PV1MACC","Plausible value 1 in content subscale of math - Change and Relationships"
"507","PV2MACC","Plausible value 2 in content subscale of math - Change and Relationships"
"508","PV3MACC","Plausible value 3 in content subscale of math - Change and Relationships"
